JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,YCY
北2-2-044,200401,6924548,3.88,725.7,3,6,488.8,33.3748,15.77,2.79
北2-2-044,200402,6924548,3.88,725.7,3,6,520.7,33.4401,17.96,3.07
北2-2-044,200403,6924548,3.88,725.7,3,6,504.6,33.5116,16.28,2.35
北2-2-044,200404,6924548,4.14,687.1,3,6,563,33.58,18.77,2.8
北2-2-044,200405,6924548,4.14,687.1,3,6,289,33.6495,14.45,2.45
北2-2-044,200406,6924548,4.14,687.1,3,6,610,33.7134,24.4,1.72
北2-2-044,200407,6924548,4.14,671.7,3,6,560,33.7756,18.06,2.9
北2-2-044,200408,6924548,4.32,617.1,3,6,603,33.8405,19.45,4.35
北2-2-044,200409,6924548,3.96,706.2,3,6,572,33.9038,19.07,4.6
北2-2-044,200410,6924548,4.78,526.8,3,6,551,33.9655,17.77,3.71
北2-2-044,200411,6924548,4.19,718.1,3,6,506,34.0187,16.87,3.17
北2-2-044,200412,6924548,4.18,716.2,3,6,666,34.0795,21.48,3.97
北2-2-044,200501,6924548,3.98,770.6,3,6,647,34.1435,20.87,3.61
北2-2-044,200502,6924548,4.34,771.4,3,6,501,34.1975,17.89,2.96
北2-2-044,200503,6924548,4.55,716.5,3,6,553,34.259,18.43,2.93
北2-2-044,200504,6924548,4.58,709.3,3,6,616,34.3167,20.53,3.1
北2-2-044,200505,6924548,4.57,712.3,3,6,660,34.3775,21.29,2.61
北2-2-044,200506,6924548,3.5,695.2,3,6,458,34.4339,15.27,2.07
北2-2-044,200507,6924548,3.42,722.1,3,6,426,34.4853,14.2,1.67
北2-2-044,200508,6924548,3.63,652.1,3,6,458,34.5412,14.77,1.77
北2-2-044,200509,6924548,5.86,279.7,3,6,356,34.5971,13.69,1.85
北2-2-044,200510,6924548,3.42,723.8,3,6,388,34.6534,12.52,1.35
北2-2-044,200511,6924548,3.92,576.9,3,6,414,34.7085,13.8,1.3
北2-2-044,200512,6924548,3.48,703,3,6,504,34.7612,16.26,2
北2-2-044,200601,6924548,4.51,726.3,3,6,464,34.8169,16.57,2.29
北2-2-044,200602,6924548,4.73,673.9,3,6,456,34.8619,16.29,1.68
北2-2-044,200603,6924548,5,507.9,3,6,342,34.9127,11.03,0.97
北2-2-044,200604,6924548,4.47,595.6,3,6,381,34.9593,12.7,1.47
北2-2-044,200605,6924548,4.11,675.6,3,6,447,35.0054,14.42,2.77
北2-2-044,200606,6924548,4.17,699.9,3,6,438,35.0499,14.6,3.47
北2-2-044,200607,6924548,4.21,689,3,6,440,35.0916,14.19,3
北2-2-044,200608,6924548,3.34,755.7,3,6,419,35.1335,13.52,3.39
北2-2-044,200609,6924548,4.05,716.6,3,6,432,35.1753,14.9,3.86
北2-2-044,200610,6924548,4.13,764.6,3,6,446,35.2202,14.39,3.19
北2-2-044,200611,6924548,4.02,784.4,3,6,319,35.2638,10.63,2.7
北2-2-044,200612,6924548,4.06,768.8,3,6,404,35.3107,13.03,3.61
北2-2-044,200701,6924548,4.04,770.8,3,6,355,35.3587,11.45,2.94
北2-2-044,200702,6924548,4.2,717.9,3,6,318,35.3967,11.36,2.04
北2-2-044,200703,6924548,4.39,658.6,3,6,372,35.4377,12,1.81
北2-2-044,200704,6924548,4.43,677,3,6,396,35.4769,13.2,2.37
北2-2-044,200705,6924548,4.46,666.5,3,6,364,35.5155,11.74,2.68
北2-2-044,200706,6924548,4.35,639.5,3,6,373,35.554,12.43,2.47
北2-2-044,200707,6924548,4.21,670.2,3,6,345,35.5895,11.13,2.03
北2-2-044,200708,6924548,4.12,689.3,3,6,359,35.6246,11.58,2.16
北2-2-044,200709,6924548,4.16,674.7,3,6,409,35.6611,13.65,2.47
北2-2-044,200710,6924548,4.8,658.6,3,6,368,35.6989,12.55,2.15
北2-2-044,200711,6924548,4.6,704.7,3,6,314,35.7324,10.48,1.37
北2-2-044,200712,6924548,4.58,709.2,3,6,321,35.7694,10.37,1.45
北2-2-044,200801,6924548,4.58,709.2,3,6,316.78,35.8086,10.28,1.54
