jh,rq,real,predict,jdwc,xdwc,mpe
喇10-18,1988-08-01,78.87863767526926,77.228836,1.649801615698948,0.020915696116493764,-2.0915696116493763
喇10-18,1988-09-01,78.54758423084739,77.417595,1.1299893211794227,0.014386048052839424,-1.4386048052839424
喇10-18,1988-10-01,69.30515504978663,77.70806,8.402906168475084,0.12124503815681102,12.124503815681102
喇10-18,1988-11-01,56.91043080674659,77.97044,21.060012918839348,0.3700554119921147,37.00554119921147
喇10-18,1988-12-01,72.03270229628126,78.50674,6.474034459089836,0.08987632356844209,8.987632356844209
喇10-18,1989-01-01,79.08268319447268,78.48259,0.6000934727929916,0.007588177949365961,-0.7588177949365961
喇10-18,1989-02-01,87.1487274944117,77.97699,9.171737748317952,0.10524235995191183,-10.524235995191184
喇10-18,1989-03-01,76.70492826661248,77.601875,0.8969470385632974,0.011693473402982288,1.1693473402982288
喇10-18,1989-04-01,73.42562527941476,77.633286,4.207660243046178,0.057305065187178136,5.730506518717814
喇10-18,1989-05-01,70.11717293233083,78.244446,8.127272868450419,0.11590987669017894,11.590987669017894
喇10-18,1989-06-01,82.06424629140419,78.46049,3.6037589256815323,0.04391387344111887,-4.391387344111887
喇10-18,1989-07-01,78.67667425320056,78.58173,0.09494054958727816,0.0012067178803432453,-0.12067178803432453
喇10-18,1989-08-01,75.3869607803292,77.686646,2.299684727483296,0.030505072809399618,3.0505072809399616
喇10-18,1989-09-01,71.35810282462914,78.0093,6.651197407304451,0.09320871973923613,9.320871973923612
喇10-18,1989-10-01,80.98571997561473,78.572624,2.4130957690717594,0.02979655882294257,-2.979655882294257
喇10-18,1989-11-01,94.56515748831538,78.59748,15.967676714389597,0.1688536998033614,-16.88536998033614
喇10-18,1989-12-01,61.053804104856745,77.422844,16.369039828248724,0.268108434326807,26.8108434326807
喇10-18,1990-01-01,75.88041780125991,78.124275,2.2438574062596217,0.0295709679951494,2.95709679951494
喇10-18,1990-02-01,77.44615484657591,78.58059,1.1344344478576858,0.0146480409531635,1.4648040953163501
喇10-18,1990-03-01,81.79981995529364,78.811005,2.9888153166217677,0.03653816497707765,-3.653816497707765
喇10-18,1990-04-01,82.25788132493395,77.74872,4.5091630632151976,0.054817398534775824,-5.481739853477582
喇10-18,1990-05-01,85.39560170697014,77.80941,7.5861916117552965,0.08883585875753713,-8.883585875753713
喇10-18,1990-06-01,67.9039036781142,77.425804,9.52190046006939,0.14022611284921385,14.022611284921386
喇10-18,1990-07-01,78.13116480390164,78.40574,0.2745740266647658,0.0035142702320374777,0.35142702320374775
喇10-18,1990-08-01,78.24776224344646,78.27747,0.029711206260572,0.00037970678532804207,0.037970678532804204
喇10-18,1990-09-01,92.62464295874823,78.2767,14.34794007788885,0.15490413371179115,-15.490413371179116
喇10-18,1990-10-01,75.99493314366997,78.00999,2.0150537337714383,0.026515632693063076,2.651563269306308
喇10-18,1990-11-01,73.80873115220484,77.515465,3.7067336305100014,0.05022080142342716,5.022080142342715
喇10-18,1990-12-01,73.02794472668157,78.001526,4.973581152224682,0.06810517769381409,6.810517769381409
喇10-18,1991-01-01,84.93545824019509,78.19778,6.7376814457614955,0.07932707476196245,-7.932707476196245
喇10-18,1991-02-01,80.13206015037595,78.12481,2.0072508852392303,0.02504928590968983,-2.504928590968983
喇10-18,1991-03-01,82.42653119284698,78.17669,4.249842044897761,0.05155915193076285,-5.155915193076285
喇10-18,1991-04-01,5.495124161755746,78.925354,73.43022984215051,13.362797214519867,1336.2797214519867
喇10-18,1991-05-01,148.65595895143264,79.96664,68.6893222937178,0.46206908070304314,-46.206908070304316
喇10-18,1991-06-01,75.93663442389759,78.908394,2.9717594359656943,0.039134726716706696,3.9134726716706694
