JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,RCYE,HSL,YCY
北2-2-044,199905,6924548,5.7,306,3,6,411.5,29.0103,3.27,13.27,75.38,3.27
北2-2-044,199906,6924548,7.9,50,3,6,397,29.0904,3.04,13.23,77.05,3.04
北2-2-044,199907,6924548,7.9,50,3,6,385.1,29.1742,2.45,12.84,80.94,2.45
北2-2-044,199908,6924548,8.6,50,3,6,424.6,29.2605,2.92,13.7,78.69,2.92
北2-2-044,199909,6924548,8.6,50,3,6,297.3,29.345,2.44,17.49,86.07,2.44
北2-2-044,199910,6924548,8.6,50,3,6,631,29.432,3.91,20.35,80.81,3.91
北2-2-044,199911,6924548,3.5,760,3,6,483.8,29.5126,4.27,16.13,73.54,4.27
北2-2-044,199912,6924548,3.5,760,3,6,442.8,29.5954,2.91,14.28,79.61,2.91
北2-2-044,200001,6924548,3.5,760,3,6,462.6,29.6824,1.48,14.92,90.06,1.48
北2-2-044,200002,6924548,3.5,760,3,6,447.8,29.7659,1.87,15.44,87.9,1.87
北2-2-044,200003,6924548,3.5,760,3,6,426.4,29.8558,2.88,14.7,80.39,2.88
北2-2-044,200004,6924548,7.8,760,3,6,380.9,29.9355,2.87,14.11,79.65,2.87
北2-2-044,200005,6924548,8.1,760,3,6,372.5,30.0146,1.42,12.02,88.16,1.42
北2-2-044,200006,6924548,8.1,760,3,6,240.1,30.0892,1.54,8,80.72,1.54
北2-2-044,200007,6924548,7.8,760,3,6,126.7,30.1717,0.99,4.09,75.77,0.99
北2-2-044,200008,6924548,7.8,760,3,6,115.6,30.2567,1.03,4.13,75.09,1.03
北2-2-044,200009,6924548,8.09,760,3,6,102.5,30.3372,0.97,3.94,75.32,0.97
北2-2-044,200010,6924548,7.77,760,0,0,0,30.4148,0,0,0,0
北2-2-044,200011,6924548,7.77,760,0,0,0,30.4887,0,0,0,0
北2-2-044,200012,6924548,7.77,760,3,6,438,30.5709,9.33,36.5,74.43,9.33
北2-2-044,200101,6924548,7.77,760,3,6,1064.8,30.6552,8.62,34.35,74.92,8.62
北2-2-044,200102,6924548,7.77,760,3,6,828.2,30.7318,6.41,29.58,78.31,6.41
北2-2-044,200103,6924548,7.77,760,3,6,821,30.8168,3.55,26.48,86.59,3.55
北2-2-044,200104,6924548,4.4,632,3,6,678,30.899,5.76,27.12,78.75,5.76
北2-2-044,200105,6924548,4.39,586,3,6,686.7,30.9833,4.45,22.15,79.92,4.45
北2-2-044,200106,6924548,4.52,582,3,6,472.4,31.0614,3.71,16.29,77.2,3.71
北2-2-044,200107,6924548,4.52,582,3,6,512.3,31.1402,2.65,16.53,83.97,2.65
北2-2-044,200108,6924548,4.52,582,3,6,432.1,31.2193,2.1,14.9,85.91,2.1
北2-2-044,200109,6924548,4.52,582,3,6,475.8,31.2938,2.05,15.86,87.05,2.05
北2-2-044,200110,6924548,4.52,582,3,6,385.2,31.3695,1.71,12.43,86.27,1.71
北2-2-044,200111,6924548,4.52,582,3,6,241,31.4427,0.94,8.03,88.3,0.94
北2-2-044,200112,6924548,4.52,582,3,6,202.5,31.5226,0.7,6.53,89.23,0.7
北2-2-044,200201,6924548,4.52,582,3,6,192.2,31.5999,0.7,6.2,88.71,0.7
北2-2-044,200202,6924548,4.52,582,3,6,198.4,31.6671,0.04,7.09,99.5,0.04
北2-2-044,200203,6924548,4.52,582,3,6,972.5,31.741,6.14,38.9,84.21,6.14
北2-2-044,200204,6924548,4.52,582,3,6,857.9,31.818,5.59,28.6,80.44,5.59
北2-2-044,200205,6924548,5,582,3,6,602.9,31.8979,3.84,19.45,80.26,3.84
北2-2-044,200206,6924548,5,582,3,6,771.8,31.9814,6.68,25.73,74.03,6.68
北2-2-044,200207,6924548,5,582,3,6,660.1,32.0605,4.46,26.4,83.11,4.46
北2-2-044,200208,6924548,5,582,3,6,905.5,32.1397,5.77,29.21,80.24,5.77
北2-2-044,200209,6924548,5,582,3,6,655.7,32.216,4.2,21.86,80.8,4.2
北2-2-044,200210,6924548,3.76,711.8,3,6,646.7,32.2933,4.39,20.86,78.95,4.39
北2-2-044,200211,6924548,3.95,726.5,3,6,578.2,32.3649,4.18,19.27,78.31,4.18
北2-2-044,200212,6924548,3.51,679.2,3,6,560,32.4428,2.04,18.06,88.7,2.04
北2-2-044,200301,6924548,3.97,729.8,3,6,471.4,32.5204,2.77,15.21,81.8,2.77
北2-2-044,200302,6924548,3.76,718.8,3,6,424.3,32.5883,3.23,15.15,78.72,3.23
北2-2-044,200303,6924548,3.76,718.8,3,6,329.3,32.6616,2.21,13.72,83.91,2.21
北2-2-044,200304,6924548,4.48,644.4,3,6,396.8,32.7336,2.47,16.53,85.06,2.47
北2-2-044,200305,6924548,4,709,3,6,387.9,32.8094,3.23,19.4,83.37,3.23
北2-2-044,200306,6924548,4.07,673,3,6,535.6,32.8816,4.28,19.13,77.65,4.28
北2-2-044,200307,6924548,4.07,673,3,6,585.7,32.9529,4.13,18.89,78.16,4.13
北2-2-044,200308,6924548,4.07,673,3,6,640.6,33.0266,4.45,21.35,79.18,4.45
北2-2-044,200309,6924548,4.07,673,3,6,505.5,33.0973,3.41,16.85,79.76,3.41
北2-2-044,200310,6924548,4.07,673,3,6,557.5,33.1694,3.37,17.98,81.27,3.37
北2-2-044,200311,6924548,4.07,673,3,6,524.5,33.2366,3.07,17.48,82.42,3.07
北2-2-044,200312,6924548,4.07,673,3,6,532.9,33.3057,3.36,17.19,80.43,3.36
北2-2-044,200401,6924548,3.88,725.7,3,6,488.8,33.3748,2.79,15.77,82.32,2.79
北2-2-044,200402,6924548,3.88,725.7,3,6,520.7,33.4401,3.07,17.96,82.89,3.07
北2-2-044,200403,6924548,3.88,725.7,3,6,504.6,33.5116,2.35,16.28,85.53,2.35
北2-2-044,200404,6924548,4.14,687.1,3,6,563,33.58,2.8,18.77,85.08,2.8
北2-2-044,200405,6924548,4.14,687.1,3,6,289,33.6495,2.45,14.45,83.04,2.45
