jh,rq,real,predict,jdwc,xdwc,mpe
喇10-203,1985-10-01,77.09726947858574,76.07005,1.0272163779998067,0.01332364148493122,-1.3323641484931221
喇10-203,1987-01-01,64.09074665655963,76.249344,12.158597215510682,0.18970908984200857,18.970908984200857
喇10-203,1987-02-01,81.24138231631383,79.38487,1.8565098797903943,0.022851776112844332,-2.2851776112844333
喇10-203,1987-03-01,75.08346364177811,76.849335,1.7658710750187652,0.023518774832281382,2.3518774832281384
喇10-203,1987-04-01,78.2955671666035,77.16751,1.1280561802753795,0.014407663436105039,-1.4407663436105038
喇10-203,1987-05-01,78.42871135416102,76.34355,2.0851597184188364,0.02658668850241422,-2.6586688502414217
喇10-203,1987-06-01,84.39523525908278,74.8363,9.558931548145281,0.11326387702813508,-11.326387702813507
喇10-203,1987-07-01,67.23627808760625,74.15309,6.916813343057811,0.10287323361423237,10.287323361423237
喇10-203,1987-08-01,81.47438464453951,76.161095,5.313289979012168,0.06521423883338615,-6.521423883338614
喇10-203,1987-09-01,75.008570036277,76.67316,1.664586702004243,0.022191953548763632,2.219195354876363
喇10-203,1987-10-01,80.3426590503005,77.4791,2.863555961921591,0.035641787261842944,-3.5641787261842945
喇10-203,1987-11-01,77.97102820943203,76.45424,1.5167893178304723,0.019453242475606966,-1.9453242475606967
喇10-203,1987-12-01,72.03779035139965,75.218666,3.180875725260506,0.04415565371653163,4.415565371653162
喇10-203,1988-01-01,75.70757702095403,78.03217,2.3245961357842475,0.030704933736564508,3.0704933736564506
喇10-203,1988-02-01,78.66171368238669,78.09455,0.5671625959609088,0.007210147979370851,-0.7210147979370851
喇10-203,1988-03-01,78.04592181493312,76.449005,1.5969166879799985,0.020461244493552105,-2.0461244493552107
喇9-2412,1999-02-01,76.46483458768748,76.5963,0.1314636300859604,0.0017192691358692738,0.17192691358692738
喇9-2412,1999-03-01,79.81840381179273,76.62927,3.1891313508552344,0.03995483746298692,-3.995483746298692
喇9-2412,1999-04-01,74.8421398018301,75.44942,0.607277312427712,0.008114109431340208,0.8114109431340208
喇9-2412,1999-05-01,75.14171422383453,76.72537,1.5836580906185986,0.021075618342977213,2.107561834297721
喇9-2412,1999-06-01,78.403746818994,77.36786,1.0358879322752443,0.013212224852808837,-1.3212224852808838
喇9-2412,1999-07-01,76.21518923601711,76.44571,0.23051999249851463,0.0030245938481456595,0.30245938481456597
喇9-2412,1999-08-01,75.8823287671233,77.22655,1.34421847408764,0.017714512666222162,1.7714512666222162
喇9-2412,1999-09-01,75.15003573555688,77.18963,2.039592865517335,0.027140278052486824,2.7140278052486826
